[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
284,0.6477,0.2485,0.2972,0.5498,0.4559,0.4398,0.0750,
285,0.6323,0.2394,0.2912,0.5611,0.4485,0.4345,0.0755,
286,0.6163,0.2308,0.2860,0.5719,0.4410,0.4292,0.0760,
287,0.6000,0.2227,0.2816,0.5821,0.4333,0.4239,0.0764,
288,0.5832,0.2150,0.2781,0.5915,0.4256,0.4187,0.0769,
289,0.5662,0.2078,0.2752,0.6003,0.4177,0.4134,0.0773,
290,0.5489,0.2010,0.2731,0.6082,0.4098,0.4082,0.0778,
291,0.5313,0.1947,0.2717,0.6152,0.4019,0.4030,0.0782,
292,0.5137,0.1886,0.2708,0.6214,0.3939,0.3977,0.0785,
293,0.4959,0.1831,0.2706,0.6267,0.3860,0.3924,0.0788,
294,0.4782,0.1780,0.2709,0.6310,0.3780,0.3872,0.0791,
295,0.4606,0.1733,0.2716,0.6344,0.3701,0.3820,0.0793,
296,0.4431,0.1689,0.2728,0.6368,0.3622,0.3767,0.0794,
297,0.4257,0.1650,0.2744,0.6382,0.3544,0.3715,0.0795,
298,0.4086,0.1614,0.2763,0.6387,0.3466,0.3663,0.0795,
299,0.3918,0.1583,0.2785,0.6382,0.3390,0.3611,0.0794,
300,0.3753,0.1555,0.2809,0.6368,0.3314,0.3560,0.0793,
301,0.3592,0.1530,0.2836,0.6344,0.3240,0.3508,0.0790,
302,0.3435,0.1510,0.2863,0.6312,0.3166,0.3457,0.0787,
303,0.3283,0.1493,0.2892,0.6272,0.3094,0.3407,0.0783,
304,0.3135,0.1480,0.2922,0.6223,0.3023,0.3357,0.0777,
305,0.2992,0.1471,0.2952,0.6167,0.2954,0.3307,0.0771,
306,0.2854,0.1465,0.2981,0.6103,0.2886,0.3258,0.0764,
307,0.2722,0.1462,0.3010,0.6033,0.2819,0.3209,0.0757,
308,0.2595,0.1463,0.3038,0.5956,0.2754,0.3161,0.0748,
309,0.2473,0.1468,0.3065,0.5874,0.2690,0.3114,0.0739,
310,0.2357,0.1476,0.3090,0.5786,0.2628,0.3067,0.0729,
311,0.2246,0.1487,0.3113,0.5694,0.2567,0.3021,0.0718,
312,0.2141,0.1500,0.3134,0.5597,0.2508,0.2976,0.0707,
313,0.2041,0.1517,0.3152,0.5498,0.2450,0.2932,0.0695,
314,0.1947,0.1536,0.3167,0.5394,0.2393,0.2888,0.0683,
315,0.1857,0.1558,0.3180,0.5289,0.2338,0.2845,0.0670,
316,0.1773,0.1583,0.3189,0.5181,0.2284,0.2802,0.0657,
